,entity_type,N_fold0,N_fold1,N_fold2,N_fold3,N_fold4,N_avg,N_std
193,Tablet104381302,0.5714,0.6720999999999999,0.6620999999999999,0.6609,0.7179000000000001,0.65688,0.047550663507463294
194,Meteorite109352849,0.6406000000000001,0.32520000000000004,0.848,0.537,0.5763,0.58542,0.16860320756142214
195,Piperazine103946814,0.7051999999999999,0.6903,0.6977,0.6081,0.6933,0.67892,0.03576335554726374
196,VolcanicEruption107436475,0.521,0.6441,0.6667000000000001,0.3235,0.6054999999999999,0.55216,0.12463857508813234
197,ReligiousSchool108284054,0.6222,0.8054000000000001,0.7463,0.4954,0.6142,0.6567,0.10876951778876288
198,Volition105652593,0.2459,0.47409999999999997,0.7164,0.46149999999999997,0.3309,0.44576000000000005,0.1596457027295129
199,Gecko101674990,0.7654000000000001,0.8291,0.903,0.9338,0.8165,0.84956,0.06090433810493303
200,Sheet106255777,0.449,0.6491,0.6884999999999999,0.7940999999999999,0.6325,0.6426399999999999,0.1119680954558038
201,Cookbook106413020,0.4815,0.5649000000000001,0.7717,0.8421,0.695,0.67104,0.13202965727441693
202,Circus108189211,0.5,0.5167,0.5663,0.9545,0.6992,0.64734,0.16874838784415097
203,Arbiter109804053,0.6747,0.5926,0.7755,0.6522,0.7051000000000001,0.6800200000000001,0.06031574918709042
204,Protist101387451,0.5988,0.6667000000000001,0.7770999999999999,0.755,0.56,0.67152,0.08469260652500897
205,Extent105123416,0.4277,0.4603,0.6629,0.5263,0.37170000000000003,0.48978,0.0999701235369848
206,Extension115272382,0.2766,0.44439999999999996,0.41509999999999997,0.4107,0.5426,0.41788,0.08517946700936792
207,Barn102793495,0.7273000000000001,0.6272,0.7406999999999999,0.7820999999999999,0.7172,0.7189,0.050895618671944615
208,Workstation104603399,0.4218,0.3247,0.5426,0.5882000000000001,0.6269,0.50084,0.11183864448391712
209,BinaryCompound114618834,0.6713,0.703,0.5,0.5714,0.2051,0.53016,0.17780243642875088
210,Delay115272029,0.25739999999999996,0.4,0.4144,0.49119999999999997,0.5196999999999999,0.41654,0.09145467948661785
211,Aldehyde114584765,0.7179000000000001,0.6424,0.6429,0.5181,0.6015,0.62456,0.06516513178073075
212,Gas114877585,0.3566,0.5135000000000001,0.5594,0.48210000000000003,0.5333,0.48898,0.070846690818979
213,Anesthetic102710766,0.5,0.6747,0.44439999999999996,0.35710000000000003,0.4211,0.47946,0.10784026335279416
214,Lieutenancy100594580,0.9612999999999999,0.9281,0.9129999999999999,0.9296,0.9312999999999999,0.93266,0.015740216008682976
215,Hadrosaur101705934,0.6931,0.77,0.7539,0.8057,0.752,0.75494,0.03643430251836857
216,Aniline114754505,0.6962999999999999,0.7042,0.6129,0.5589999999999999,0.449,0.6042799999999999,0.09453903743956779
